district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ควนขนุน,แหลมโตนด,5,constituency,election_day,224,213,10,1,133,6,23,47,3,1,0
ควนขนุน,แหลมโตนด,6,constituency,election_day,323,314,6,3,103,5,29,169,8,0,0
ควนขนุน,แหลมโตนด,7,constituency,election_day,276,263,8,5,116,8,16,106,14,2,1
ควนขนุน,แหลมโตนด,8,constituency,election_day,232,228,1,3,72,28,43,75,6,1,3
ควนขนุน,โตนดด้วน,0,constituency,election_day,262,250,3,9,37,2,21,168,8,1,13
ควนขนุน,โตนดด้วน,1,constituency,election_day,596,579,8,9,158,2,39,345,30,2,3
ควนขนุน,โตนดด้วน,2,constituency,election_day,246,234,7,5,49,0,28,140,15,1,1
ควนขนุน,โตนดด้วน,3,constituency,election_day,231,221,4,6,41,1,20,141,16,1,1
ควนขนุน,โตนดด้วน,4,constituency,election_day,558,546,4,8,122,4,43,348,24,2,3
ควนขนุน,โตนดด้วน,5,constituency,election_day,226,216,3,7,79,1,10,117,9,0,0
ควนขนุน,โตนดด้วน,6,constituency,election_day,705,675,13,17,129,3,51,448,43,1,0
ควนขนุน,โตนดด้วน,7,constituency,election_day,341,332,6,3,56,0,11,247,17,0,1
ควนขนุน,โตนดด้วน,8,constituency,election_day,431,408,10,13,128,3,30,213,32,1,1
ควนขนุน,โตนดด้วน,9,constituency,election_day,280,266,6,8,103,0,24,127,8,1,3
ควนขนุน,โตนดด้วน,10,constituency,election_day,374,363,4,7,24,1,24,295,17,1,1
,,0,constituency,out_of_district_advance,765,695,6,64,91,18,88,197,286,7,8
,,1,constituency,out_of_district_advance,761,689,11,61,114,19,101,211,233,5,6
,,2,constituency,out_of_district_advance,765,719,15,31,96,17,85,257,248,6,10
,,3,constituency,out_of_district_advance,520,475,5,40,60,9,65,172,159,5,5
,,4,constituency,out_of_district_advance,765,705,11,49,101,13,88,214,276,3,10
,,5,constituency,out_of_district_advance,763,692,12,59,116,15,98,209,238,5,11
,,6,constituency,out_of_district_advance,765,705,10,50,98,11,74,217,298,5,2
,,7,constituency,out_of_district_advance,765,692,11,62,95,19,92,229,241,7,9
,,8,constituency,out_of_district_advance,765,687,13,65,100,9,77,221,268,8,4
,,9,constituency,out_of_district_advance,770,699,13,58,125,17,91,220,230,5,11
,,0,constituency,in_district_advance,9,9,0,0,3,0,1,5,0,0,0
