district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ควนขนุน,ดอนทราย,9,constituency,election_day,379,369,3,7,58,2,22,276,11,0,0
ควนขนุน,ดอนทราย,10,constituency,election_day,264,257,5,2,57,5,11,175,7,0,2
ศรีบรรพต,ตะแพน,0,constituency,election_day,340,335,2,3,136,3,31,143,21,0,1
ศรีบรรพต,ตะแพน,1,constituency,election_day,603,583,16,4,147,3,47,344,42,0,0
ศรีบรรพต,ตะแพน,2,constituency,election_day,335,326,2,7,145,0,27,136,16,2,0
ศรีบรรพต,ตะแพน,3,constituency,election_day,144,142,2,0,62,0,3,72,5,0,0
ศรีบรรพต,ตะแพน,4,constituency,election_day,549,531,10,8,199,3,56,235,33,1,4
ศรีบรรพต,ตะแพน,5,constituency,election_day,376,369,4,3,128,2,56,147,35,1,0
ศรีบรรพต,ตะแพน,6,constituency,election_day,614,602,4,8,238,2,98,230,31,2,1
ศรีบรรพต,ตะแพน,7,constituency,election_day,343,335,5,3,121,3,9,190,10,1,1
ศรีบรรพต,ตะแพน,8,constituency,election_day,339,324,6,9,109,5,33,155,21,0,1
ควนขนุน,ทะเลน้อย,0,constituency,election_day,614,584,21,9,239,6,36,280,18,3,2
ควนขนุน,ทะเลน้อย,1,constituency,election_day,330,319,3,8,95,3,18,184,19,0,0
ควนขนุน,ทะเลน้อย,2,constituency,election_day,341,329,6,6,123,6,13,164,22,1,0
ควนขนุน,ทะเลน้อย,3,constituency,election_day,377,363,13,1,69,2,20,263,8,0,1
ควนขนุน,ทะเลน้อย,4,constituency,election_day,508,491,12,5,211,11,26,222,19,0,2
ควนขนุน,ทะเลน้อย,5,constituency,election_day,296,278,6,12,91,10,20,150,6,0,1
