district,subdistrict,unit_index,latitude,longitude,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง
ป่าพะยอม,ป่าพะยอม,36,62.7078533,799.3508363,3655,3501,91,63,8,1,0,3,3,0,13,2,2,407,12,2190,40,0,7,1,0,20,2,2,0,0,1,1,404,2,5,10,88,1,3,1,3,1,0,1,15,2,13,91,43,11,0,6,0,4,1,5,10,42,0,6,1,14,0,3,0
ป่าพะยอม,ลานข่อย,78,78.6190161,998.3485375,5157,4961,139,57,0,9,2,2,15,0,20,1,3,588,6,3061,52,0,7,0,0,59,2,1,0,5,2,3,551,10,6,14,38,3,5,5,4,0,0,3,26,9,15,263,55,5,1,1,2,6,6,3,5,56,0,11,0,13,1,3,3
ป่าพะยอม,เกาะเต่า,153,117.200521,1497.9833985,7791,7470,224,97,4,33,0,2,16,0,26,2,4,939,6,4537,91,1,5,4,0,64,5,1,0,6,3,1,911,7,17,25,85,2,1,3,7,2,2,2,44,8,14,319,85,14,2,9,1,17,7,7,10,95,0,5,0,11,1,5,2
ศรีนครินทร์,ชุมพล,120,123.5602686,1502.3427087,5783,5442,200,141,4,13,4,3,7,0,48,4,6,817,4,3068,52,1,11,5,0,78,5,8,1,11,4,1,494,6,20,28,53,2,4,5,5,4,1,3,49,3,12,371,74,19,0,5,1,7,4,6,15,59,0,5,1,13,0,15,3
ศรีนครินทร์,บ้านนา,78,90.8012005,1198.5873289,4972,4712,190,70,1,8,0,2,1,1,19,2,4,596,2,2581,34,0,4,2,1,48,1,1,1,2,0,2,739,2,6,17,38,6,3,2,3,2,0,30,31,6,9,328,54,7,2,8,0,8,3,2,12,42,2,5,0,25,0,5,2
ศรีนครินทร์,ลำสินธ์ุ,45,67.6624515,899.2658008999999,4125,3914,166,45,1,8,1,1,16,1,5,0,1,516,0,2265,40,1,8,1,1,56,1,3,3,2,2,0,385,0,9,13,35,4,4,2,2,1,0,2,27,4,7,332,33,10,1,5,3,5,2,6,14,50,0,6,0,13,2,3,1
ศรีนครินทร์,อ่างทอง,36,60.4590078,799.6809144,2937,2802,101,34,3,9,2,5,6,0,32,0,2,280,1,1696,21,0,3,4,0,17,3,5,0,1,0,0,352,3,4,10,45,1,1,1,1,0,0,44,13,3,12,122,30,8,0,3,0,4,1,2,7,38,0,2,0,4,0,1,0
ศรีบรรพต,ตะแพน,45,68.8397511,899.074621,3643,3526,75,42,0,11,0,2,4,1,14,1,2,520,5,2131,26,1,4,1,3,37,1,0,0,0,0,1,399,2,5,7,26,3,5,3,3,0,0,2,11,9,9,162,35,7,1,5,1,0,2,4,6,38,0,2,0,8,2,2,2
ศรีบรรพต,เขาปู่,66,84.832534,1098.1086203,3827,3626,116,85,2,6,0,0,7,0,6,1,2,538,5,2070,35,0,4,0,0,45,2,1,3,4,4,1,438,4,4,14,36,1,1,3,1,1,7,2,20,3,13,195,51,6,0,4,8,7,4,4,4,37,0,6,0,10,2,2,2
ศรีบรรพต,เขาย่า,55,77.3740355,999.0364288,4668,4467,151,50,6,10,0,1,6,1,15,0,4,512,4,2792,37,0,9,2,2,39,2,2,1,3,3,3,504,6,6,15,44,2,0,4,4,1,0,1,21,6,5,181,56,12,1,4,1,10,4,7,12,78,0,6,0,19,1,2,1
