district,subdistrict,turnout,integrity_score,vote_mismatch,invalid_ratio
กงหรา2,ชะรัด,0.9456709956709957,97.9978354978355,0,0.03051948051948052
กงหรา2,สมหวัง,0.9446916719643992,97.85441830896376,0,0.03464717101080737
ควนขนุน,ควนขนุน,0.9629829775736287,98.67603350445826,0,0.019454201567144017
ควนขนุน,ควนขนุน(เทศบาล),0.9492512479201332,98.58569051580699,0,0.013311148086522463
ควนขนุน,ชะมวง,0.9683304647160069,98.84509466437177,0,0.01738382099827883
ควนขนุน,ดอนทราย,0.9703476482617587,98.97750511247443,0,0.014314928425357873
ควนขนุน,ทะเลน้อย,0.9597927972372965,98.5002466699556,0,0.023186975826344353
ควนขนุน,นาขยาด,0.9505751258087707,98.40222861250899,0,0.020309130122214233
ควนขนุน,ปันแต,0.9717375276480708,99.00712705824527,0,0.014254116490538215
ควนขนุน,พนมวังก์,0.9600283822138127,98.64711447492904,0,0.018448438978240302
ควนขนุน,พนางตุง,0.9613674689560019,98.47769431243293,0,0.024988502222903573
ควนขนุน,มะกอกเหนือ,0.9642963403748884,98.87533472180898,0,0.01368640285629277
ควนขนุน,มะกอกเหนือ(เทศบาล),0.966412213740458,98.93893129770993,0,0.012977099236641221
ควนขนุน,แพรกหา,0.9615570599613152,98.70889748549322,0,0.017408123791102514
ควนขนุน,แหลมโตนด,0.9596723377441714,98.39949590422181,0,0.026465028355387523
ควนขนุน,โตนดด้วน,0.9623529411764706,98.76705882352941,0,0.016
ป่าพะยอม,บ้านพร้าว,0.9513199775322974,98.42538850402546,0,0.0200337015540161
ป่าพะยอม,ป่าพะยอม,0.9436388508891929,98.19972640218879,0,0.02243502051983584
ป่าพะยอม,ลานข่อย,0.9637386077176653,98.71630793096762,0,0.01861547411285631
ป่าพะยอม,เกาะเต่า,0.96726992683866,98.89102810935695,0,0.015145680913874984
ศรีนครินทร์,ชุมพล,0.9476050492823794,98.25177243645167,0,0.023344284973197304
ศรีนครินทร์,บ้านนา,0.9619871279163315,98.58205953338697,0,0.021922767497988736
ศรีนครินทร์,ลำสินธ์ุ,0.9626666666666667,98.51878787878788,0,0.024484848484848484
ศรีนครินทร์,อ่างทอง,0.9639087504256043,98.63466121893089,0,0.021450459652706845
ศรีบรรพต,ตะแพน,0.9736480922316771,99.0529783145759,0,0.013999451001921494
ศรีบรรพต,เขาปู่,0.9500914554481317,98.39822315129344,0,0.020120198588973084
ศรีบรรพต,เขาย่า,0.9588688946015425,98.573264781491,0,0.020137103684661525
