district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ป่าพะยอม,บ้านพร้าว,1,constituency,election_day,438,416,0,22,116,3,76,153,64,0,4,416,0,0.0,0.0502283105022831,0.9497716894977168,153.0,0.3677884615384615,0.0889423076923077,1.4027556216827897,,False,98.99543378995432,True,True,UNUSUAL_VOTING_PATTERN,107,7.814176799999999,99.9520961,เต๊นท์บริเวณตลาดใหม่ป่าพะยอม,True,1,0,9
ป่าพะยอม,บ้านพร้าว,2,constituency,election_day,392,366,3,23,104,4,62,161,34,0,1,366,0,0.0076530612244897,0.0586734693877551,0.9336734693877552,161.0,0.4398907103825136,0.1557377049180328,1.3057849087362678,,False,98.4438775510204,False,True,UNUSUAL_VOTING_PATTERN,108,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านพร้าว,True,1,0,9
ป่าพะยอม,บ้านพร้าว,5,constituency,election_day,318,297,8,13,118,8,53,87,27,2,2,297,0,0.0251572327044025,0.040880503144654,0.9339622641509434,118.0,0.3973063973063973,0.1043771043771043,1.4166412975031877,,False,97.9245283018868,False,True,UNUSUAL_VOTING_PATTERN,111,7.836562000000001,99.9709605,ศาลาประจำหมู่บ้านบ้านบ่อทราย,True,1,0,-1
ป่าพะยอม,บ้านพร้าว,6,constituency,election_day,243,225,7,11,40,3,38,132,10,1,1,225,0,0.0288065843621399,0.0452674897119341,0.925925925925926,132.0,0.5866666666666667,0.4088888888888889,1.1643893185977274,,False,97.65432098765432,False,True,UNUSUAL_VOTING_PATTERN,112,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านไสอ้อ,True,1,0,9
ควนขนุน,ปันแต,2,constituency,election_day,129,127,1,1,100,0,0,25,2,0,0,127,0,0.0077519379844961,0.0077519379844961,0.9844961240310076,100.0,0.7874015748031497,0.5905511811023622,0.5735161527449373,,False,99.45736434108528,False,True,UNUSUAL_VOTING_PATTERN,119,7.791803600000001,100.0351252,ศาลาประจำหมู่บ้านบ้านปันแต,True,1,1,-1
ควนขนุน,ปันแต,4,constituency,election_day,251,236,3,12,63,12,23,135,3,0,0,236,0,0.0119521912350597,0.047808764940239,0.9402390438247012,135.0,0.5720338983050848,0.3050847457627119,1.105947625018469,,False,98.44621513944224,False,True,UNUSUAL_VOTING_PATTERN,121,7.804978500000001,100.0569463,ศาลาประจำหมู่บ้านบ้านปากสระ,True,1,0,-1
ป่าพะยอม,ป่าพะยอม,3,constituency,election_day,357,327,10,20,46,2,54,198,25,1,1,327,0,0.0280112044817927,0.0560224089635854,0.9159663865546218,198.0,0.6055045871559633,0.4403669724770642,1.1402424191745864,,False,97.47899159663866,False,True,UNUSUAL_VOTING_PATTERN,133,7.841230299999999,99.9385037,โรงเรียนอนุบาลป่าพะยอม,True,1,0,10
ป่าพะยอม,ป่าพะยอม,4,constituency,election_day,511,462,16,33,92,5,108,214,37,4,2,462,0,0.0313111545988258,0.0645792563600782,0.9041095890410958,214.0,0.4632034632034632,0.2294372294372294,1.3334518759990337,,False,97.14285714285714,True,True,UNUSUAL_VOTING_PATTERN,134,7.8521588,99.9353318,ศาลาประจำหมู่บ้านบ้านทุง,True,1,0,10
ป่าพะยอม,ป่าพะยอม,6,constituency,election_day,531,487,14,30,78,10,91,268,38,0,2,487,0,0.0263653483992467,0.0564971751412429,0.9171374764595104,268.0,0.5503080082135524,0.3634496919917864,1.2368546082727456,,False,97.5517890772128,False,True,UNUSUAL_VOTING_PATTERN,136,7.838677,99.863101,ศาลาประจำหมู่บ้านบ้านนาทราย,True,1,0,16
ควนขนุน,พนางตุง,7,constituency,election_day,483,464,11,8,23,2,15,412,10,0,2,464,0,0.0227743271221532,0.0165631469979296,0.9606625258799172,412.0,0.8879310344827587,0.8383620689655172,0.495063044538564,,False,98.53002070393374,True,True,UNUSUAL_VOTING_PATTERN,153,7.767323999999999,100.08837,ศาลาประจำหมู่บ้านบ้านค่าย,True,1,1,-1
ควนขนุน,มะกอกเหนือ,2,constituency,election_day,93,92,0,1,14,1,3,66,8,0,0,92,0,0.0,0.010752688172043,0.989247311827957,66.0,0.717391304347826,0.5652173913043478,0.8979256989207716,,False,99.78494623655914,False,True,UNUSUAL_VOTING_PATTERN,165,7.739052,100.0712741,ศาลาประจำหมู่บ้านบ้านปากคลองเก่า,True,1,1,11
ควนขนุน,มะกอกเหนือ,3,constituency,election_day,113,107,1,5,40,0,12,53,2,0,0,107,0,0.0088495575221238,0.0442477876106194,0.9469026548672568,53.0,0.4953271028037383,0.1214953271028037,1.0355781452899828,,False,98.6725663716814,False,True,UNUSUAL_VOTING_PATTERN,166,7.7544444,100.0663889,ศาลาประจำหมู่บ้านบ้านเขาอ้อ,True,1,0,11
ควนขนุน,มะกอกเหนือ,7,constituency,election_day,485,472,1,12,169,5,73,177,40,1,7,472,0,0.002061855670103,0.0247422680412371,0.9731958762886598,177.0,0.375,0.0169491525423728,1.3570665629976002,,False,99.4020618556701,False,True,UNUSUAL_VOTING_PATTERN,170,7.7335541,100.051063,ศาลาการเปรียญวัดบ้านสวน,True,1,2,-1
กงหรา2,สมหวัง,4,constituency,election_day,358,332,20,6,88,0,60,166,16,1,1,332,0,0.0558659217877094,0.0167597765363128,0.9273743016759776,166.0,0.5,0.2349397590361445,1.1888165778609738,,False,96.87150837988828,False,True,UNUSUAL_VOTING_PATTERN,198,7.5076504,99.9837692,โรงเรียนวัดหวัง,True,1,0,-1
กงหรา2,สมหวัง,6,constituency,election_day,374,345,20,9,176,4,56,68,38,0,3,345,0,0.053475935828877,0.0240641711229946,0.9224598930481284,176.0,0.5101449275362319,0.3130434782608696,1.2944989383648529,,False,96.84491978609626,False,True,UNUSUAL_VOTING_PATTERN,200,7.4978326,100.015403,ศาลาประจำหมู่บ้านบ้านไสคุณเปลือย,True,1,0,-1
ศรีนครินทร์,อ่างทอง,4,constituency,election_day,538,530,1,7,84,2,31,396,15,1,1,530,0,0.0018587360594795,0.0130111524163568,0.9851301115241636,396.0,0.7471698113207547,0.5886792452830188,0.8213877811191767,,False,99.64684014869889,False,True,UNUSUAL_VOTING_PATTERN,206,7.5505741,99.9603319,ศาลาอเนกประสงค์บ้านโหล๊ะหนุน,True,1,1,-1
ศรีบรรพต,เขาปู่,3,constituency,election_day,198,181,4,13,36,0,16,120,9,0,0,181,0,0.0202020202020202,0.0656565656565656,0.914141414141414,120.0,0.6629834254143646,0.4640883977900552,0.9573802817071078,,False,97.67676767676768,True,True,UNUSUAL_VOTING_PATTERN,230,7.729098599999999,99.8041245,ศาลาประจำหมู่บ้าน บ้านควนลม หมู่ที่ 3,True,1,0,-1
ศรีบรรพต,เขาปู่,5,constituency,election_day,253,233,3,17,70,4,27,119,9,0,4,233,0,0.0118577075098814,0.067193675889328,0.9209486166007904,119.0,0.5107296137339056,0.2103004291845493,1.2194361613303824,,False,98.06324110671936,False,True,UNUSUAL_VOTING_PATTERN,232,7.717472799999999,99.8431866,ศาลาประจำหมู่บ้าน บ้านด่าน หมู่ที่ 5,True,1,0,-1
ศรีบรรพต,เขาย่า,9,constituency,election_day,375,359,3,13,45,0,45,249,18,0,2,359,0,0.008,0.0346666666666666,0.9573333333333334,249.0,0.6935933147632312,0.5682451253481894,0.9533547525487474,,False,98.90666666666668,False,True,UNUSUAL_VOTING_PATTERN,247,7.7206497,99.8865912,ศาลาประจำหมู่บ้าน บ้านสำนักวา หมู่ที่ 9,True,1,1,-1
ควนขนุน,แหลมโตนด,6,constituency,election_day,224,213,10,1,133,6,23,47,3,1,0,213,0,0.0446428571428571,0.0044642857142857,0.9508928571428572,133.0,0.6244131455399061,0.4037558685446009,1.0536107949037483,,False,97.67857142857144,False,True,UNUSUAL_VOTING_PATTERN,262,7.828554299999999,100.0247788,ศาลาประจำหมู่บ้านบ้านทุ่งใน,True,1,0,19
ควนขนุน,แหลมโตนด,9,constituency,election_day,232,228,1,3,72,28,43,75,6,1,3,228,0,0.0043103448275862,0.0129310344827586,0.9827586206896552,75.0,0.3289473684210526,0.0131578947368421,1.4784189007725077,,False,99.52586206896552,True,True,UNUSUAL_VOTING_PATTERN,265,7.8338149,100.0598974,ศาลาประจำหมู่บ้านบ้านในตลาด,True,1,2,-1
ควนขนุน,โตนดด้วน,11,constituency,election_day,374,363,4,7,24,1,24,295,17,1,1,363,0,0.0106951871657754,0.0187165775401069,0.9705882352941176,295.0,0.8126721763085399,0.7465564738292011,0.7198327493450053,,False,99.0909090909091,False,True,UNUSUAL_VOTING_PATTERN,276,7.7160528,100.0191857,ศาลาประจำหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,True,1,1,0
