dataset,segment,rank,name,votes,vote_share,election_day_vote_share,share_diff_vs_election_day
partylist,out_of_district_advance_aggregated,7,ประชาธิปไดยใหม่,42.0,0.00590717299578059,0.009301562115284654,-0.003394389119504064
partylist,out_of_district_advance_aggregated,8,ไทยภักดี,27.0,0.0037974683544303796,0.003994200202445764,-0.00019673184801538438
partylist,out_of_district_advance_aggregated,9,ไทยก้าวใหม่,23.0,0.0032348804500703233,0.0012037315678603672,0.002031148882209956
partylist,out_of_district_advance_aggregated,10,กล้าธรรม,23.0,0.0032348804500703233,0.002316271350276767,0.0009186090997935561
partylist,out_of_district_advance_aggregated,11,ทางเลือกไทย,22.0,0.0030942334739803095,0.003684148131936275,-0.0005899146579559657
partylist,out_of_district_advance_aggregated,12,เสรีรวมไทย,21.0,0.002953586497890295,0.0022341987433771968,0.0007193877545130984
partylist,in_district_advance,1,ประชาธิปัตย์,5.0,0.5555555555555556,0.5646960121832225,-0.009140456627666937
partylist,in_district_advance,2,ไทยพร้อม,1.0,0.1111111111111111,0.0013131617103931278,0.10979794940071798
partylist,in_district_advance,3,ประชาชน,1.0,0.1111111111111111,0.1270301571234463,-0.01591904601233521
partylist,in_district_advance,4,ภูมิใจไทย,1.0,0.1111111111111111,0.15408675986467138,-0.042975648753560275
partylist,in_district_advance,5,ไทยทรัพย์ทวี,1.0,0.1111111111111111,0.01137161564486271,0.0997394954662484
partylist,in_district_advance,6,ไทยพิทักษ์ธรรม,0.0,0.0,0.00010943014253276065,-0.00010943014253276065
partylist,in_district_advance,7,ไทรวมพลัง,0.0,0.0,0.000392124677409059,-0.000392124677409059
partylist,in_district_advance,8,ไทยสร้างไทย,0.0,0.0,0.0007295342835517376,-0.0007295342835517376
partylist,in_district_advance,9,ไทยรวมไทย,0.0,0.0,0.0001732643923435377,-0.0001732643923435377
partylist,in_district_advance,10,ไทยก้าวใหม่,0.0,0.0,0.0012037315678603672,-0.0012037315678603672
partylist,in_district_advance,11,ไทยก้าวหน้า,0.0,0.0,0.0008024877119069114,-0.0008024877119069114
partylist,in_district_advance,12,ใหม่,0.0,0.0,0.0013952343172926984,-0.0013952343172926984
partylist,advance_total,1,ประชาชน,3498.0,0.4913611462284029,0.1270301571234463,0.36433098910495654
partylist,advance_total,2,ประชาธิปัตย์,2022.0,0.28402865571007163,0.5646960121832225,-0.2806673564731509
partylist,advance_total,3,ภูมิใจไทย,859.0,0.1206630144683242,0.15408675986467138,-0.03342374539634718
partylist,advance_total,4,เพื่อไทย,247.0,0.034695884253406375,0.05239879991610356,-0.01770291566269718
partylist,advance_total,5,รวมไทยสร้างชาติ,91.0,0.012782694198623401,0.011143636181252792,0.001639058017370609
partylist,advance_total,6,เศรษฐกิจ,75.0,0.01053518752633797,0.01067855807548856,-0.0001433705491505899
partylist,advance_total,7,ประชาธิปไดยใหม่,42.0,0.0058997050147492625,0.009301562115284654,-0.003401857100535392
partylist,advance_total,8,ไทยภักดี,27.0,0.0037926675094816687,0.003994200202445764,-0.00020153269296409532
partylist,advance_total,9,ไทยก้าวใหม่,23.0,0.0032307908414103102,0.0012037315678603672,0.002027059273549943
partylist,advance_total,10,กล้าธรรม,23.0,0.0032307908414103102,0.002316271350276767,0.000914519491133543
partylist,advance_total,11,ทางเลือกไทย,22.0,0.0030903216743924707,0.003684148131936275,-0.0005938264575438045
partylist,advance_total,12,เสรีรวมไทย,21.0,0.0029498525073746312,0.0022341987433771968,0.0007156537639974344
