district,subdistrict,unit_index,form_type_const,vote_phase,ballot_total_const,ballot_valid_const,ballot_invalid_const,ballot_no_vote_const,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum_const,vote_mismatch_const,invalid_ratio_const,no_vote_ratio_const,turnout_const,winner_votes_const,winner_ratio_const,winner_margin_const,vote_entropy_const,validation_error,has_validation_error,integrity_score_const,anomaly_iforest_const,anomaly_dbscan_const,anomaly_type_const,form_type_party,ballot_total_party,ballot_valid_party,ballot_invalid_party,ballot_no_vote_party,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum_party,vote_mismatch_party,invalid_ratio_party,no_vote_ratio_party,turnout_party,winner_votes_party,winner_ratio_party,winner_margin_party,vote_entropy_party,integrity_score_party,anomaly_iforest_party,anomaly_dbscan_party,anomaly_type_party,cross_mismatch,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ศรีนครินทร์,ชุมพล,1,constituency,election_day,645,610,13,22,343,2,51,170,42,1,1,610,0,0.0201550387596899,0.0341085271317829,0.9457364341085271,343.0,0.5622950819672131,0.2836065573770492,1.111296984586334,,False,98.31007751937985,False,False,NORMAL,partylist,645,596,25,24,0,0,0,0,0,0,3,0,1,89,1,341,3,0,0,1,0,7,0,0,0,2,1,1,63,0,3,3,7,0,2,0,2,0,0,0,2,1,2,35,8,2,0,1,1,2,0,0,5,2,0,3,1,0,0,1,0,596,0,0.0387596899224806,0.0372093023255813,0.924031007751938,341.0,0.5721476510067114,0.4228187919463087,1.6031429577096452,97.31782945736434,False,True,UNUSUAL_VOTING_PATTERN,0,38,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมพล,True,1,1,4
ศรีนครินทร์,ชุมพล,3,constituency,election_day,363,342,11,10,206,1,15,88,32,0,0,342,0,0.0303030303030303,0.0275482093663911,0.9421487603305784,206.0,0.6023391812865497,0.3450292397660818,1.0305053793115515,,False,97.93388429752066,False,False,NORMAL,partylist,363,339,16,8,0,2,0,1,0,0,0,0,0,71,0,153,5,0,2,0,0,4,1,1,0,1,0,0,30,0,2,2,7,0,0,0,0,1,0,2,1,0,1,37,7,1,0,1,0,1,0,0,2,1,0,0,0,2,0,0,0,339,0,0.0440771349862259,0.0220385674931129,0.9338842975206612,153.0,0.4513274336283185,0.2418879056047197,1.8186658092036336,97.35537190082644,False,True,UNUSUAL_VOTING_PATTERN,0,40,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองเสม็ด,True,1,1,5
ศรีนครินทร์,ชุมพล,4,constituency,election_day,418,371,17,30,113,8,18,185,32,8,7,371,0,0.0406698564593301,0.0717703349282296,0.8875598086124402,185.0,0.4986522911051212,0.1940700808625337,1.307621665313712,,False,96.5311004784689,True,True,UNUSUAL_VOTING_PATTERN,partylist,418,375,19,24,1,6,2,0,0,0,13,1,1,66,1,85,5,0,0,1,0,11,0,0,0,3,0,0,45,3,3,8,8,0,0,1,0,2,0,0,24,0,0,38,18,1,0,0,0,0,1,0,1,23,0,0,0,2,0,1,0,375,0,0.0454545454545454,0.0574162679425837,0.8971291866028708,85.0,0.2266666666666666,0.0506666666666666,2.487130290516781,96.57894736842104,True,True,UNUSUAL_VOTING_PATTERN,0,41,7.5827562,99.9618832,ศาลาการเปรียญวัดลำกะ,True,1,1,-1
ศรีนครินทร์,ชุมพล,6,constituency,election_day,493,461,11,21,212,0,61,146,35,1,6,461,0,0.0223123732251521,0.0425963488843813,0.9350912778904664,212.0,0.4598698481561822,0.1431670281995661,1.2545392540987017,,False,98.03245436105476,False,False,NORMAL,partylist,493,455,22,16,0,0,0,0,1,0,1,0,0,56,1,269,7,0,0,2,0,8,2,1,0,1,0,0,53,1,2,0,6,1,0,2,0,0,0,1,1,1,0,25,2,5,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,455,0,0.0446247464503042,0.0324543610547667,0.922920892494929,269.0,0.5912087912087912,0.4681318681318681,1.5476020755223812,97.11967545638946,False,True,UNUSUAL_VOTING_PATTERN,0,43,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),True,1,1,4
ศรีนครินทร์,ชุมพล,7,constituency,election_day,274,255,6,13,130,0,26,80,18,0,1,255,0,0.0218978102189781,0.0474452554744525,0.9306569343065694,130.0,0.5098039215686274,0.196078431372549,1.14879761981009,,False,97.95620437956204,False,False,NORMAL,partylist,274,259,5,10,0,0,0,0,0,0,1,0,0,41,0,150,2,0,0,0,0,3,0,0,0,1,1,0,25,0,0,3,2,0,1,0,0,0,0,0,1,0,1,14,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,259,0,0.0182481751824817,0.0364963503649635,0.9452554744525548,150.0,0.5791505791505791,0.4208494208494208,1.4919036627891118,98.35766423357664,False,True,UNUSUAL_VOTING_PATTERN,0,44,7.6050041,99.9493424,ศาลาอเนกประสงค์บ้านทุ่งยวน,True,1,1,4
ศรีนครินทร์,ชุมพล,12,constituency,election_day,244,233,5,6,151,1,19,48,13,0,1,233,0,0.0204918032786885,0.0245901639344262,0.9549180327868853,151.0,0.648068669527897,0.4420600858369098,1.018782719085895,,False,98.48360655737706,False,False,NORMAL,partylist,244,224,11,9,0,1,0,0,0,0,0,1,0,35,0,118,3,0,0,0,0,7,0,1,0,1,0,0,20,0,1,1,2,0,1,0,0,0,0,0,0,0,1,22,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,224,0,0.0450819672131147,0.0368852459016393,0.918032786885246,118.0,0.5267857142857143,0.3705357142857143,1.642228166275038,97.00819672131148,False,True,UNUSUAL_VOTING_PATTERN,0,49,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านต้นธง,True,1,1,4
ศรีนครินทร์,ชุมพล,13,constituency,election_day,254,245,1,8,159,0,44,30,11,0,1,245,0,0.0039370078740157,0.0314960629921259,0.9645669291338582,159.0,0.6489795918367347,0.4693877551020408,1.0078995105607798,,False,99.1732283464567,False,False,NORMAL,partylist,254,245,3,6,2,0,0,0,0,0,2,1,0,24,0,179,1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,3,1,0,1,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,245,0,0.0118110236220472,0.0236220472440944,0.9645669291338582,179.0,0.7306122448979592,0.6326530612244898,1.1639447665869618,98.93700787401576,True,False,UNUSUAL_VOTING_PATTERN,0,50,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านนารา,True,1,0,5
ควนขนุน,ดอนทราย,1,constituency,election_day,206,205,1,0,26,0,2,172,4,0,1,205,0,0.0048543689320388,0.0,0.9951456310679612,172.0,0.8390243902439024,0.7121951219512195,0.557102506913667,,False,99.75728155339806,True,True,UNUSUAL_VOTING_PATTERN,partylist,206,202,2,2,0,1,0,0,1,0,0,0,0,27,0,105,1,0,0,0,0,0,1,1,0,0,0,0,42,0,0,1,3,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,202,0,0.0097087378640776,0.0097087378640776,0.9805825242718448,105.0,0.5198019801980198,0.3118811881188119,1.5137012550399045,99.32038834951456,False,False,NORMAL,0,53,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านเขากอย,True,1,0,6
ควนขนุน,ดอนทราย,4,constituency,election_day,255,250,1,4,30,1,9,204,6,0,0,250,0,0.0039215686274509,0.0156862745098039,0.9803921568627452,204.0,0.816,0.696,0.6516290050403301,,False,99.49019607843135,False,True,UNUSUAL_VOTING_PATTERN,partylist,255,246,3,6,0,1,0,0,2,0,1,0,0,30,0,109,3,0,0,0,0,1,0,0,0,0,0,0,70,0,1,2,10,0,1,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0,246,0,0.0117647058823529,0.0235294117647058,0.9647058823529412,109.0,0.4430894308943089,0.1585365853658536,1.640972426624032,98.94117647058825,False,False,NORMAL,0,56,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านลำรุณ,True,1,0,6
ควนขนุน,ดอนทราย,6,constituency,election_day,284,272,5,7,29,0,12,215,13,1,2,272,0,0.0176056338028169,0.0246478873239436,0.9577464788732394,215.0,0.7904411764705882,0.6838235294117647,0.7643010702569123,,False,98.62676056338027,False,True,UNUSUAL_VOTING_PATTERN,partylist,284,279,2,3,0,1,0,0,1,0,1,0,0,32,0,126,1,0,1,0,0,1,0,0,0,1,0,0,76,1,1,1,8,0,0,0,0,0,0,0,3,0,1,8,1,1,0,0,0,0,0,0,0,3,0,2,0,7,0,0,1,279,0,0.0070422535211267,0.0105633802816901,0.9823943661971832,126.0,0.4516129032258064,0.1792114695340501,1.6732146247223272,99.43661971830986,False,True,UNUSUAL_VOTING_PATTERN,0,58,7.722331100000001,99.9800438,ศาลาประจำหมู่บ้านบ้านเกาะทอง,True,1,0,-1
