district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
กงหรา2,ชะรัด,7,constituency,election_day,7.470731900000001,99.9856344,ศาลาอเนกประสงค์บ้านนามะพร้าว,277,264,7,6,73,1,30,142,16,1,1
กงหรา2,ชะรัด,8,constituency,election_day,7.470731900000001,99.9856344,ศูนย์ถ่ายทอดเทคโนโลยีตำบลชะรัด,617,590,14,13,211,3,69,277,26,3,1
กงหรา2,ชะรัด,9,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านหูเล่,383,341,15,27,139,1,41,123,35,1,1
กงหรา2,ชะรัด,10,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านสะพานแต้ว,517,490,18,9,208,2,36,213,26,4,1
ศรีนครินทร์,ชุมพล,1,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมพล,645,610,13,22,343,2,51,170,42,1,1
ศรีนครินทร์,ชุมพล,2,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองปริง,345,332,8,5,190,3,48,66,24,1,0
ศรีนครินทร์,ชุมพล,3,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองเสม็ด,363,342,11,10,206,1,15,88,32,0,0
ศรีนครินทร์,ชุมพล,4,constituency,election_day,7.5827562,99.9618832,ศาลาการเปรียญวัดลำกะ,418,371,17,30,113,8,18,185,32,8,7
ศรีนครินทร์,ชุมพล,5,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านห้วยไทร,402,387,15,0,178,0,54,134,18,2,1
ศรีนครินทร์,ชุมพล,6,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),493,461,11,21,212,0,61,146,35,1,6
ศรีนครินทร์,ชุมพล,7,constituency,election_day,7.6050041,99.9493424,ศาลาอเนกประสงค์บ้านทุ่งยวน,274,255,6,13,130,0,26,80,18,0,1
