district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ศรีบรรพต,เขาปู่,9,constituency,election_day,290,278,4,8,113,5,21,122,16,0,1,278,0,0.0137931034482758,0.0275862068965517,0.9586206896551724,122.0,0.4388489208633093,0.0323741007194244,1.1793154615965695,,False,98.75862068965516,False,False,NORMAL,236,7.704519400000001,99.8236533,ศาลาประจำหมู่บ้าน บ้านในวัง หมู่ที่ 9,False,0,1,18
ศรีบรรพต,เขาปู่,10,constituency,election_day,283,278,2,3,35,0,29,200,14,0,0,278,0,0.0070671378091872,0.0106007067137809,0.9823321554770318,200.0,0.7194244604316546,0.5935251798561151,0.8840993973382695,,False,99.434628975265,False,False,NORMAL,237,7.704519400000001,99.8236533,ศาลาประจำหมู่บ้าน บ้านโหล๊ะปราง หมู่ที่ 10,False,0,2,18
ศรีบรรพต,เขาปู่,11,constituency,election_day,357,341,6,10,79,4,40,195,21,1,1,341,0,0.0168067226890756,0.0280112044817927,0.9551820728291316,195.0,0.5718475073313783,0.3401759530791788,1.167786814333211,,False,98.59943977591035,False,False,NORMAL,238,7.704519400000001,99.8236533,ศาลาประจำหมู่บ้าน บ้านเขาปู่ หมู่ที่ 11,False,0,3,18
ศรีบรรพต,เขาย่า,1,constituency,election_day,404,387,9,8,51,3,34,272,25,1,1,387,0,0.0222772277227722,0.0198019801980198,0.957920792079208,272.0,0.7028423772609819,0.5710594315245479,0.9740183374067566,,False,98.490099009901,False,False,NORMAL,239,7.728210699999999,99.9004167,ศาลาประจำหมู่บ้าน บ้านสำนักปราง หมู่ที่ 1,False,0,3,-1
ศรีบรรพต,เขาย่า,2,constituency,election_day,396,384,6,6,79,0,25,254,25,0,1,384,0,0.0151515151515151,0.0151515151515151,0.9696969696969696,254.0,0.6614583333333334,0.4557291666666667,0.9698793353715472,,False,98.93939393939397,False,False,NORMAL,240,7.747962100000001,99.9157776,ศาลาประจำหมู่บ้าน บ้านสะพานยาง หมู่ที่ 2,False,0,3,-1
ศรีบรรพต,เขาย่า,3,constituency,election_day,537,524,3,10,129,11,57,302,24,0,1,524,0,0.0055865921787709,0.0186219739292365,0.9757914338919924,302.0,0.5763358778625954,0.3301526717557252,1.1382687423256823,,False,99.34823091247672,False,False,NORMAL,241,7.7458666,99.890643,ศาลาประจำหมู่บ้าน บ้านม่วง หมู่ที่ 3,False,0,0,-1
ศรีบรรพต,เขาย่า,4,constituency,election_day,474,456,11,7,117,2,36,280,21,0,0,456,0,0.0232067510548523,0.0147679324894514,0.9620253164556962,280.0,0.6140350877192983,0.3574561403508772,1.0145029266274144,,False,98.54430379746836,False,False,NORMAL,242,7.7197137,99.9199675,ศาลาประจำหมู่บ้าน บ้านเขาย่าออก หมู่ที่ 4,False,0,3,-1
ศรีบรรพต,เขาย่า,5,constituency,election_day,451,439,8,4,91,1,49,271,26,0,1,439,0,0.0177383592017738,0.0088691796008869,0.9733924611973392,271.0,0.6173120728929385,0.4100227790432801,1.0638339913270811,,False,98.93569844789356,False,False,NORMAL,243,7.7576419,99.9032094,ศาลาประจำหมู่บ้าน บ้านโหล๊ะเร็ดตกหมู่ที่ 5,False,0,3,-1
ศรีบรรพต,เขาย่า,6,constituency,election_day,496,468,15,13,164,3,40,232,21,3,5,468,0,0.0302419354838709,0.0262096774193548,0.9435483870967742,232.0,0.4957264957264957,0.1452991452991453,1.1780619347196104,,False,97.96370967741936,False,False,NORMAL,244,7.710689700000001,99.9046058,ศาลาประจำหมู่บ้าน บ้านเขาย่าตก หมู่ที่ 6,False,0,1,-1
ศรีบรรพต,เขาย่า,7,constituency,election_day,552,511,18,23,164,3,43,266,32,0,3,511,0,0.0326086956521739,0.0416666666666666,0.9257246376811594,266.0,0.5205479452054794,0.1996086105675146,1.1467121735784136,,False,97.53623188405795,False,False,NORMAL,245,7.729908200000001,99.8850586,ศาลาประจำหมู่บ้าน บ้านโพรงงู หมู่ที่ 7,False,0,1,-1
