district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ควนขนุน,ควนขนุน,7,partylist,election_day,374,361,8,5,0,0,0,0,1,1,2,0,0,62,2,157,5,0,1,1,0,2,1,0,0,0,0,0,89,0,1,0,4,0,0,0,0,0,0,0,3,0,0,17,4,1,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,361,0,0.0213903743315508,0.0133689839572192,0.96524064171123,157.0,0.4349030470914127,0.1883656509695291,1.654416510423701,98.66310160427808,False,False,NORMAL,10,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านโพธิ์,False,0,1,1
ควนขนุน,ควนขนุน,8,partylist,election_day,208,204,4,0,0,0,0,0,0,0,2,0,0,20,0,101,0,0,0,0,1,1,0,0,0,0,0,0,48,0,0,2,6,0,0,0,0,0,0,0,3,0,1,11,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,204,0,0.0192307692307692,0.0,0.9807692307692308,101.0,0.4950980392156863,0.2598039215686274,1.573530234479,99.03846153846152,False,False,NORMAL,11,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านข่อยม้า,False,0,0,1
ควนขนุน,ควนขนุน,9,partylist,election_day,80,78,1,1,0,0,0,0,0,0,0,0,0,15,0,23,2,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,0.0125,0.0125,0.975,24.0,0.3076923076923077,0.0128205128205128,1.6890327383134127,99.125,True,True,UNUSUAL_VOTING_PATTERN,12,7.735698699999999,100.0077949,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,True,1,1,0
ควนขนุน,ชะมวง,1,partylist,election_day,573,564,7,2,0,0,0,0,0,0,0,0,0,80,0,316,2,0,3,0,0,6,0,1,1,0,1,0,101,1,0,2,10,0,0,0,0,0,0,0,0,0,3,22,0,1,0,1,0,2,0,1,0,6,0,0,0,4,0,0,0,564,0,0.0122164048865619,0.0034904013961605,0.9842931937172776,316.0,0.5602836879432624,0.3812056737588652,1.4337608556421193,99.31937172774867,False,False,NORMAL,13,7.7438149,99.9698974,ศาลาประจำหมู่บ้านบ้านชะมวง,False,0,0,0
ควนขนุน,ชะมวง,2,partylist,election_day,194,177,11,6,0,0,0,0,0,0,1,0,0,14,0,83,3,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,0,12,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,177,0,0.056701030927835,0.0309278350515463,0.9123711340206184,83.0,0.4689265536723164,0.2090395480225988,1.602509251841952,96.54639175257732,False,True,UNUSUAL_VOTING_PATTERN,14,7.7408104,99.9839132,ศาลาการเปรียญวัดพิกุลทอง,True,1,1,0
ควนขนุน,ชะมวง,3,partylist,election_day,545,523,13,9,0,1,0,0,0,0,1,0,1,51,1,305,0,0,0,0,0,7,0,0,0,1,0,0,96,0,1,1,2,1,0,1,0,0,0,0,2,1,0,26,5,5,0,0,0,1,0,0,0,9,0,0,0,4,0,0,0,523,0,0.0238532110091743,0.0165137614678899,0.9596330275229358,305.0,0.5831739961759083,0.3996175908221797,1.4299166972692336,98.4770642201835,False,False,NORMAL,15,7.7885424,99.9643809,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,False,0,0,-1
ควนขนุน,ชะมวง,4,partylist,election_day,185,180,2,3,1,0,0,0,0,0,2,0,0,27,2,80,3,0,0,1,0,2,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,180,0,0.0108108108108108,0.0162162162162162,0.972972972972973,80.0,0.4444444444444444,0.15,1.5020602435054693,99.13513513513512,False,False,NORMAL,16,7.7419453,99.9723573,ศาลาประจำหมู่บ้านบ้านหนักขัน,False,0,0,0
ควนขนุน,ชะมวง,5,partylist,election_day,511,490,16,5,0,2,0,0,1,0,0,0,0,45,0,278,4,0,1,1,0,4,0,0,0,0,0,0,91,0,0,4,2,1,0,0,1,0,0,0,3,0,2,38,2,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,490,0,0.0313111545988258,0.009784735812133,0.958904109589041,278.0,0.5673469387755102,0.3816326530612245,1.452379088052412,98.23874755381604,False,False,NORMAL,17,7.753196000000001,99.9551971,ศาลาประจำหมู่บ้านบ้านไสเตียน,False,0,0,-1
ควนขนุน,ชะมวง,6,partylist,election_day,326,317,4,5,0,0,0,0,1,0,1,0,0,33,2,162,1,0,0,0,0,6,1,0,0,1,0,0,77,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7,5,1,0,1,0,0,0,0,1,6,0,2,0,3,0,1,0,317,0,0.0122699386503067,0.0153374233128834,0.97239263803681,162.0,0.5110410094637224,0.2681388012618296,1.5740995341002566,99.079754601227,False,False,NORMAL,18,7.7838149,99.9798974,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,False,0,0,-1
ควนขนุน,ชะมวง,7,partylist,election_day,394,376,13,5,0,0,0,0,1,0,1,0,0,36,0,201,3,0,0,0,0,1,1,0,0,0,0,0,100,0,2,2,3,0,0,0,1,0,0,0,5,0,0,10,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,376,0,0.032994923857868,0.0126903553299492,0.9543147208121828,201.0,0.5345744680851063,0.2686170212765957,1.3896539180217513,98.0964467005076,False,False,NORMAL,19,7.7538149,99.9598974,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,False,0,0,0
ควนขนุน,ชะมวง,8,partylist,election_day,360,342,16,2,0,1,0,0,0,0,1,0,0,83,3,135,0,0,0,1,1,3,2,2,0,0,0,1,70,1,0,1,7,0,0,0,0,0,0,0,2,0,0,12,2,1,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,342,0,0.0444444444444444,0.0055555555555555,0.95,135.0,0.3947368421052631,0.1520467836257309,1.7226476382668376,97.66666666666666,False,True,UNUSUAL_VOTING_PATTERN,20,7.7372374,99.973056,ศาลาประจำหมู่บ้านบ้านไทรโกบ,True,1,1,0
ควนขนุน,ชะมวง,9,partylist,election_day,328,316,8,4,0,0,0,0,1,1,1,0,0,59,0,114,2,0,0,0,0,1,0,1,0,0,0,0,84,0,0,1,6,1,0,0,0,0,0,0,0,0,0,30,2,2,0,1,0,1,0,1,2,1,0,1,0,2,0,1,0,316,0,0.024390243902439,0.0121951219512195,0.9634146341463414,114.0,0.360759493670886,0.0949367088607595,1.7291349557353906,98.53658536585364,False,False,NORMAL,21,7.736974900000001,99.9842367,ศาลาประจำหมู่บ้านบ้านหัวถนน,False,0,1,0
ควนขนุน,ชะมวง,10,partylist,election_day,196,188,6,2,0,2,0,0,0,0,1,0,0,43,0,51,3,0,1,0,0,1,0,1,0,0,0,0,52,0,0,0,3,0,1,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,188,0,0.0306122448979591,0.010204081632653,0.9591836734693876,52.0,0.2765957446808511,0.0053191489361702,1.7461799983361643,98.265306122449,True,True,UNUSUAL_VOTING_PATTERN,22,7.737530199999998,99.9891287,ศาลาประจำหมู่บ้านบ้านปาบ,True,1,1,0
ควนขนุน,ชะมวง,11,partylist,election_day,486,463,18,5,0,1,0,0,0,0,3,0,0,49,0,244,2,0,1,1,0,6,0,0,0,0,0,0,100,0,0,3,0,0,0,0,0,0,0,0,2,0,2,37,1,0,1,0,0,0,1,1,2,4,0,1,1,0,0,0,0,463,0,0.037037037037037,0.0102880658436214,0.9526748971193416,244.0,0.5269978401727862,0.3110151187904967,1.4842458264794447,97.94238683127573,False,False,NORMAL,23,7.771804299999999,99.9381744,ศาลาประจำหมู่บ้านบ้านสามหนอง,False,0,0,-1
ควนขนุน,ชะมวง,12,partylist,election_day,296,276,13,7,0,0,0,1,0,0,2,0,0,35,0,150,2,0,1,0,0,2,0,0,0,0,0,0,50,0,1,0,2,0,0,0,0,0,0,0,5,0,0,16,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,276,0,0.0439189189189189,0.0236486486486486,0.9324324324324323,150.0,0.5434782608695652,0.3623188405797101,1.4837187487716796,97.33108108108108,False,False,NORMAL,24,7.7427958,99.9646715,ศาลาประจำหมู่บ้านบ้านศาลาม่วง,False,0,1,0
ควนขนุน,ชะมวง,13,partylist,election_day,462,445,10,7,0,0,0,0,3,0,1,0,0,51,2,274,11,0,0,0,0,3,1,0,0,1,0,0,43,0,2,0,5,0,0,0,0,0,0,0,1,0,3,26,4,1,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,445,0,0.0216450216450216,0.0151515151515151,0.9632034632034632,274.0,0.6157303370786517,0.501123595505618,1.4522079506880503,98.61471861471864,False,False,NORMAL,25,7.7851689,99.9546944,ศาลาประจำหมู่บ้านบ้านไสตอ,False,0,0,-1
ควนขนุน,ชะมวง,14,partylist,election_day,588,555,28,5,0,0,0,1,0,0,2,0,0,85,0,315,3,0,0,0,0,4,0,0,0,0,0,0,88,1,2,2,5,0,0,0,0,0,0,0,2,0,1,27,11,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,555,0,0.0476190476190476,0.0085034013605442,0.9438775510204082,315.0,0.5675675675675675,0.409009009009009,1.410388309912009,97.44897959183672,False,False,NORMAL,26,7.769434400000001,99.9700718,ศาลาประจำหมู่บ้านบ้านหยีใน,False,0,0,-1
ควนขนุน,ชะมวง,15,partylist,election_day,366,351,9,6,0,0,0,0,1,0,0,0,1,35,0,227,3,0,0,0,0,3,0,0,0,0,0,1,39,0,0,1,1,0,1,0,0,0,0,0,6,0,2,16,1,1,0,0,0,0,0,1,1,4,0,3,0,3,0,0,0,351,0,0.0245901639344262,0.0163934426229508,0.9590163934426228,227.0,0.6467236467236467,0.5356125356125356,1.3764371181659067,98.44262295081968,False,False,NORMAL,27,7.7851689,99.9546944,ศาลาประจำหมู่บ้านบ้านไสตอตก,False,0,0,-1
กงหรา2,ชะรัด,1,partylist,election_day,593,562,17,14,0,0,0,0,0,0,2,0,3,48,2,357,4,1,1,0,0,4,0,1,0,0,0,0,78,5,0,1,3,1,0,0,1,0,0,0,4,0,5,14,6,0,0,1,0,0,0,0,6,11,0,2,0,0,0,0,1,562,0,0.0286677908937605,0.0236087689713322,0.9477234401349072,357.0,0.6352313167259787,0.49644128113879,1.4341747260147255,98.09443507588531,False,False,NORMAL,28,7.4710752,99.9927726,ศาลาประจำหมู่บ้านบ้านต้นประดู่,False,0,0,2
กงหรา2,ชะรัด,2,partylist,election_day,419,398,20,1,0,1,0,0,0,0,1,0,1,66,2,210,5,0,0,0,0,7,1,0,0,0,0,0,75,1,1,0,1,0,3,0,1,0,0,0,0,0,3,8,1,1,0,0,0,1,0,0,3,4,0,0,0,0,1,0,0,398,0,0.0477326968973747,0.0023866348448687,0.9498806682577564,210.0,0.5276381909547738,0.3391959798994975,1.5182497985451298,97.56563245823388,False,False,NORMAL,29,7.477495999999999,100.0135447,ศาลาประจำหมู่บ้านบ้านวังปริง,False,0,0,-1
กงหรา2,ชะรัด,3,partylist,election_day,655,631,16,8,0,0,0,0,3,1,2,0,2,90,5,390,7,0,3,0,0,5,1,0,0,1,0,0,55,0,0,1,5,0,2,0,1,0,0,1,4,0,3,27,2,2,0,2,0,0,0,0,0,12,0,2,0,2,0,0,0,631,0,0.0244274809160305,0.0122137404580152,0.9633587786259542,390.0,0.618066561014263,0.4754358161648177,1.4785643702802416,98.53435114503816,False,False,NORMAL,30,7.471108099999999,100.0050042,ศาลาประจำหมู่บ้านบ้านหัวหรั่ง,False,0,0,2
กงหรา2,ชะรัด,4,partylist,election_day,331,308,16,7,0,2,0,0,0,0,1,0,0,44,6,171,4,0,0,1,0,2,1,0,0,0,0,0,37,0,0,1,4,0,0,0,0,0,0,0,0,0,1,23,3,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,308,0,0.0483383685800604,0.0211480362537764,0.9305135951661632,171.0,0.5551948051948052,0.4123376623376623,1.5566358067742865,97.16012084592144,False,False,NORMAL,31,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านท่ายาง,False,0,1,2
กงหรา2,ชะรัด,5,partylist,election_day,399,383,14,2,0,0,0,0,0,0,0,0,0,69,7,170,0,0,3,0,1,7,0,0,0,0,1,0,55,2,2,2,3,0,0,0,0,0,0,0,5,2,1,41,7,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,383,0,0.0350877192982456,0.0050125313283208,0.9598997493734336,170.0,0.443864229765013,0.2637075718015665,1.769619032866395,98.1453634085213,False,False,NORMAL,32,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,False,0,1,2
กงหรา2,ชะรัด,6,partylist,election_day,429,412,15,2,0,8,0,0,0,0,4,0,0,74,1,172,3,0,1,0,0,13,1,0,0,0,0,0,75,0,1,2,2,0,0,0,0,0,0,0,4,0,0,37,4,0,0,0,0,1,0,0,1,4,0,1,0,2,0,0,1,412,0,0.0349650349650349,0.0046620046620046,0.9603729603729604,172.0,0.4174757281553398,0.2354368932038835,1.7955361117286457,98.15850815850816,False,False,NORMAL,33,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,False,0,1,2
กงหรา2,ชะรัด,7,partylist,election_day,277,271,3,3,0,1,0,0,1,0,0,0,0,26,0,153,3,0,0,0,0,0,0,0,0,1,0,0,65,0,0,1,3,0,1,0,1,0,0,0,1,0,0,9,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,271,0,0.0108303249097472,0.0108303249097472,0.9783393501805054,153.0,0.5645756457564576,0.3247232472324723,1.3387785393341047,99.2418772563177,False,False,NORMAL,34,7.470731900000001,99.9856344,ศาลาอเนกประสงค์บ้านนามะพร้าว,False,0,0,2
