district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง
ควนขนุน,ควนขนุน,7,partylist,election_day,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านโพธิ์,374,361,8,5,0,0,0,0,1,1,2,0,0,62,2,157,5,0,1,1,0,2,1,0,0,0,0,0,89,0,1,0,4,0,0,0,0,0,0,0,3,0,0,17,4,1,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0
ควนขนุน,ควนขนุน,8,partylist,election_day,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านข่อยม้า,208,204,4,0,0,0,0,0,0,0,2,0,0,20,0,101,0,0,0,0,1,1,0,0,0,0,0,0,48,0,0,2,6,0,0,0,0,0,0,0,3,0,1,11,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
ควนขนุน,ควนขนุน,9,partylist,election_day,7.735698699999999,100.0077949,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,80,78,1,1,0,0,0,0,0,0,0,0,0,15,0,23,2,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ควนขนุน,ชะมวง,1,partylist,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านชะมวง,573,564,7,2,0,0,0,0,0,0,0,0,0,80,0,316,2,0,3,0,0,6,0,1,1,0,1,0,101,1,0,2,10,0,0,0,0,0,0,0,0,0,3,22,0,1,0,1,0,2,0,1,0,6,0,0,0,4,0,0,0
ควนขนุน,ชะมวง,2,partylist,election_day,7.7408104,99.9839132,ศาลาการเปรียญวัดพิกุลทอง,194,177,11,6,0,0,0,0,0,0,1,0,0,14,0,83,3,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,0,12,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
ควนขนุน,ชะมวง,3,partylist,election_day,7.7885424,99.9643809,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,545,523,13,9,0,1,0,0,0,0,1,0,1,51,1,305,0,0,0,0,0,7,0,0,0,1,0,0,96,0,1,1,2,1,0,1,0,0,0,0,2,1,0,26,5,5,0,0,0,1,0,0,0,9,0,0,0,4,0,0,0
ควนขนุน,ชะมวง,4,partylist,election_day,7.7419453,99.9723573,ศาลาประจำหมู่บ้านบ้านหนักขัน,185,180,2,3,1,0,0,0,0,0,2,0,0,27,2,80,3,0,0,1,0,2,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
ควนขนุน,ชะมวง,5,partylist,election_day,7.753196000000001,99.9551971,ศาลาประจำหมู่บ้านบ้านไสเตียน,511,490,16,5,0,2,0,0,1,0,0,0,0,45,0,278,4,0,1,1,0,4,0,0,0,0,0,0,91,0,0,4,2,1,0,0,1,0,0,0,3,0,2,38,2,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0
ควนขนุน,ชะมวง,6,partylist,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,326,317,4,5,0,0,0,0,1,0,1,0,0,33,2,162,1,0,0,0,0,6,1,0,0,1,0,0,77,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7,5,1,0,1,0,0,0,0,1,6,0,2,0,3,0,1,0
ควนขนุน,ชะมวง,7,partylist,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,394,376,13,5,0,0,0,0,1,0,1,0,0,36,0,201,3,0,0,0,0,1,1,0,0,0,0,0,100,0,2,2,3,0,0,0,1,0,0,0,5,0,0,10,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
ควนขนุน,ชะมวง,8,partylist,election_day,7.7372374,99.973056,ศาลาประจำหมู่บ้านบ้านไทรโกบ,360,342,16,2,0,1,0,0,0,0,1,0,0,83,3,135,0,0,0,1,1,3,2,2,0,0,0,1,70,1,0,1,7,0,0,0,0,0,0,0,2,0,0,12,2,1,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0
ควนขนุน,ชะมวง,9,partylist,election_day,7.736974900000001,99.9842367,ศาลาประจำหมู่บ้านบ้านหัวถนน,328,316,8,4,0,0,0,0,1,1,1,0,0,59,0,114,2,0,0,0,0,1,0,1,0,0,0,0,84,0,0,1,6,1,0,0,0,0,0,0,0,0,0,30,2,2,0,1,0,1,0,1,2,1,0,1,0,2,0,1,0
ควนขนุน,ชะมวง,10,partylist,election_day,7.737530199999998,99.9891287,ศาลาประจำหมู่บ้านบ้านปาบ,196,188,6,2,0,2,0,0,0,0,1,0,0,43,0,51,3,0,1,0,0,1,0,1,0,0,0,0,52,0,0,0,3,0,1,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ควนขนุน,ชะมวง,11,partylist,election_day,7.771804299999999,99.9381744,ศาลาประจำหมู่บ้านบ้านสามหนอง,486,463,18,5,0,1,0,0,0,0,3,0,0,49,0,244,2,0,1,1,0,6,0,0,0,0,0,0,100,0,0,3,0,0,0,0,0,0,0,0,2,0,2,37,1,0,1,0,0,0,1,1,2,4,0,1,1,0,0,0,0
ควนขนุน,ชะมวง,12,partylist,election_day,7.7427958,99.9646715,ศาลาประจำหมู่บ้านบ้านศาลาม่วง,296,276,13,7,0,0,0,1,0,0,2,0,0,35,0,150,2,0,1,0,0,2,0,0,0,0,0,0,50,0,1,0,2,0,0,0,0,0,0,0,5,0,0,16,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0
ควนขนุน,ชะมวง,13,partylist,election_day,7.7851689,99.9546944,ศาลาประจำหมู่บ้านบ้านไสตอ,462,445,10,7,0,0,0,0,3,0,1,0,0,51,2,274,11,0,0,0,0,3,1,0,0,1,0,0,43,0,2,0,5,0,0,0,0,0,0,0,1,0,3,26,4,1,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0
ควนขนุน,ชะมวง,14,partylist,election_day,7.769434400000001,99.9700718,ศาลาประจำหมู่บ้านบ้านหยีใน,588,555,28,5,0,0,0,1,0,0,2,0,0,85,0,315,3,0,0,0,0,4,0,0,0,0,0,0,88,1,2,2,5,0,0,0,0,0,0,0,2,0,1,27,11,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
ควนขนุน,ชะมวง,15,partylist,election_day,7.7851689,99.9546944,ศาลาประจำหมู่บ้านบ้านไสตอตก,366,351,9,6,0,0,0,0,1,0,0,0,1,35,0,227,3,0,0,0,0,3,0,0,0,0,0,1,39,0,0,1,1,0,1,0,0,0,0,0,6,0,2,16,1,1,0,0,0,0,0,1,1,4,0,3,0,3,0,0,0
กงหรา2,ชะรัด,1,partylist,election_day,7.4710752,99.9927726,ศาลาประจำหมู่บ้านบ้านต้นประดู่,593,562,17,14,0,0,0,0,0,0,2,0,3,48,2,357,4,1,1,0,0,4,0,1,0,0,0,0,78,5,0,1,3,1,0,0,1,0,0,0,4,0,5,14,6,0,0,1,0,0,0,0,6,11,0,2,0,0,0,0,1
กงหรา2,ชะรัด,2,partylist,election_day,7.477495999999999,100.0135447,ศาลาประจำหมู่บ้านบ้านวังปริง,419,398,20,1,0,1,0,0,0,0,1,0,1,66,2,210,5,0,0,0,0,7,1,0,0,0,0,0,75,1,1,0,1,0,3,0,1,0,0,0,0,0,3,8,1,1,0,0,0,1,0,0,3,4,0,0,0,0,1,0,0
กงหรา2,ชะรัด,3,partylist,election_day,7.471108099999999,100.0050042,ศาลาประจำหมู่บ้านบ้านหัวหรั่ง,655,631,16,8,0,0,0,0,3,1,2,0,2,90,5,390,7,0,3,0,0,5,1,0,0,1,0,0,55,0,0,1,5,0,2,0,1,0,0,1,4,0,3,27,2,2,0,2,0,0,0,0,0,12,0,2,0,2,0,0,0
กงหรา2,ชะรัด,4,partylist,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านท่ายาง,331,308,16,7,0,2,0,0,0,0,1,0,0,44,6,171,4,0,0,1,0,2,1,0,0,0,0,0,37,0,0,1,4,0,0,0,0,0,0,0,0,0,1,23,3,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0
กงหรา2,ชะรัด,5,partylist,election_day,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,399,383,14,2,0,0,0,0,0,0,0,0,0,69,7,170,0,0,3,0,1,7,0,0,0,0,1,0,55,2,2,2,3,0,0,0,0,0,0,0,5,2,1,41,7,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
กงหรา2,ชะรัด,6,partylist,election_day,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,429,412,15,2,0,8,0,0,0,0,4,0,0,74,1,172,3,0,1,0,0,13,1,0,0,0,0,0,75,0,1,2,2,0,0,0,0,0,0,0,4,0,0,37,4,0,0,0,0,1,0,0,1,4,0,1,0,2,0,0,1
กงหรา2,ชะรัด,7,partylist,election_day,7.470731900000001,99.9856344,ศาลาอเนกประสงค์บ้านนามะพร้าว,277,271,3,3,0,1,0,0,1,0,0,0,0,26,0,153,3,0,0,0,0,0,0,0,0,1,0,0,65,0,0,1,3,0,1,0,1,0,0,0,1,0,0,9,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
กงหรา2,ชะรัด,8,partylist,election_day,7.470731900000001,99.9856344,ศูนย์ถ่ายทอดเทคโนโลยีตำบลชะรัด,617,592,15,10,0,1,0,0,3,0,2,0,0,69,1,359,6,0,1,0,0,5,1,0,0,1,0,0,99,0,2,1,5,2,1,0,0,0,0,0,2,2,1,8,4,0,0,0,0,1,2,1,2,7,0,1,0,1,1,0,0
กงหรา2,ชะรัด,9,partylist,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านหูเล่,383,360,13,10,0,0,0,0,1,0,0,0,0,49,2,222,5,0,0,0,0,7,0,1,0,0,0,0,43,0,0,1,4,0,1,0,0,0,0,0,2,0,1,11,3,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1,0
กงหรา2,ชะรัด,10,partylist,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านสะพานแต้ว,517,490,22,5,0,0,0,0,1,1,3,1,3,42,3,313,1,1,0,1,0,5,0,0,1,0,0,0,69,1,1,0,5,0,2,0,0,0,0,0,4,0,2,11,5,1,0,0,1,1,0,1,0,7,0,1,0,1,1,0,0
ศรีนครินทร์,ชุมพล,1,partylist,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมพล,645,596,25,24,0,0,0,0,0,0,3,0,1,89,1,341,3,0,0,1,0,7,0,0,0,2,1,1,63,0,3,3,7,0,2,0,2,0,0,0,2,1,2,35,8,2,0,1,1,2,0,0,5,2,0,3,1,0,0,1,0
ศรีนครินทร์,ชุมพล,2,partylist,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองปริง,345,328,12,5,1,1,1,0,0,0,1,0,1,45,1,212,4,0,0,0,0,6,0,0,0,0,1,0,15,0,1,1,2,0,0,0,0,0,0,0,2,0,0,19,5,2,0,0,0,0,1,1,1,3,0,0,0,0,0,1,0
ศรีนครินทร์,ชุมพล,3,partylist,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองเสม็ด,363,339,16,8,0,2,0,1,0,0,0,0,0,71,0,153,5,0,2,0,0,4,1,1,0,1,0,0,30,0,2,2,7,0,0,0,0,1,0,2,1,0,1,37,7,1,0,1,0,1,0,0,2,1,0,0,0,2,0,0,0
ศรีนครินทร์,ชุมพล,4,partylist,election_day,7.5827562,99.9618832,ศาลาการเปรียญวัดลำกะ,418,375,19,24,1,6,2,0,0,0,13,1,1,66,1,85,5,0,0,1,0,11,0,0,0,3,0,0,45,3,3,8,8,0,0,1,0,2,0,0,24,0,0,38,18,1,0,0,0,0,1,0,1,23,0,0,0,2,0,1,0
ศรีนครินทร์,ชุมพล,5,partylist,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านห้วยไทร,402,384,13,5,0,1,1,0,1,0,3,0,1,50,0,248,5,0,1,0,0,6,0,1,0,1,0,0,27,0,1,1,2,0,0,0,1,0,0,0,2,0,0,22,1,1,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0
ศรีนครินทร์,ชุมพล,6,partylist,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),493,455,22,16,0,0,0,0,1,0,1,0,0,56,1,269,7,0,0,2,0,8,2,1,0,1,0,0,53,1,2,0,6,1,0,2,0,0,0,1,1,1,0,25,2,5,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0
ศรีนครินทร์,ชุมพล,7,partylist,election_day,7.6050041,99.9493424,ศาลาอเนกประสงค์บ้านทุ่งยวน,274,259,5,10,0,0,0,0,0,0,1,0,0,41,0,150,2,0,0,0,0,3,0,0,0,1,1,0,25,0,0,3,2,0,1,0,0,0,0,0,1,0,1,14,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,8,partylist,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านควนดินสอ,637,604,20,13,0,1,0,0,0,0,11,1,0,134,0,301,3,0,3,0,0,3,1,2,0,0,0,0,66,1,2,3,5,0,0,0,1,1,0,0,5,0,0,36,4,3,0,2,0,1,0,2,1,2,0,1,0,6,0,2,0
ศรีนครินทร์,ชุมพล,9,partylist,election_day,7.650070299999999,99.9772486,ศาลาอเนกประสงค์บ้านสวนโหนด,290,274,9,7,0,0,0,0,1,0,0,0,1,35,0,176,3,0,1,0,0,2,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,10,partylist,election_day,17.0245089,102.9780981,ศาลาประจำหมู่บ้านบ้านหนองหว้า,349,331,9,9,0,1,0,1,1,0,1,0,1,35,0,206,1,0,1,0,0,5,0,0,0,0,0,0,31,1,1,0,4,0,0,0,1,0,0,0,2,0,1,26,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
ศรีนครินทร์,ชุมพล,11,partylist,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านลำกะ,547,526,21,0,0,0,0,1,1,0,7,0,0,75,0,310,6,0,1,0,0,10,0,2,1,1,0,0,44,0,0,0,4,0,0,0,0,0,0,0,3,0,4,37,3,0,0,1,0,1,0,0,1,7,0,0,0,3,0,0,3
ศรีนครินทร์,ชุมพล,12,partylist,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านต้นธง,244,224,11,9,0,1,0,0,0,0,0,1,0,35,0,118,3,0,0,0,0,7,0,1,0,1,0,0,20,0,1,1,2,0,1,0,0,0,0,0,0,0,1,22,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,13,partylist,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านนารา,254,245,3,6,2,0,0,0,0,0,2,1,0,24,0,179,1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,3,1,0,1,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,14,partylist,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองโหรง,275,260,10,5,0,0,0,0,1,0,1,0,0,28,0,166,2,0,1,1,0,3,0,0,0,0,0,0,20,0,3,4,0,0,0,0,0,0,1,0,3,0,0,18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ศรีนครินทร์,ชุมพล,15,partylist,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมทอง,247,242,5,0,0,0,0,0,1,0,4,0,0,33,0,154,2,1,1,0,0,2,1,0,0,0,0,0,17,0,0,1,1,0,0,1,0,0,0,0,2,1,1,14,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
ควนขนุน,ดอนทราย,1,partylist,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านเขากอย,206,202,2,2,0,1,0,0,1,0,0,0,0,27,0,105,1,0,0,0,0,0,1,1,0,0,0,0,42,0,0,1,3,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0
ควนขนุน,ดอนทราย,2,partylist,election_day,7.7253162,99.9828919,ศาลาประจำหมู่บ้านบ้านหม้อ,372,357,10,5,1,1,0,0,1,0,3,0,0,68,0,193,4,0,1,0,0,1,0,0,0,0,0,1,52,0,0,1,3,0,0,0,1,0,0,0,0,1,1,14,3,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0
ควนขนุน,ดอนทราย,3,partylist,election_day,7.7066667,99.9511111,ศาลาประจำหมู่บ้านบ้านเขาวัง,301,286,11,4,0,3,0,0,0,0,0,0,0,26,0,196,2,0,1,0,0,1,0,0,0,0,0,0,27,0,1,0,5,0,0,0,0,1,0,0,0,1,2,7,4,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0
ควนขนุน,ดอนทราย,4,partylist,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านลำรุณ,255,246,3,6,0,1,0,0,2,0,1,0,0,30,0,109,3,0,0,0,0,1,0,0,0,0,0,0,70,0,1,2,10,0,1,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0
ควนขนุน,ดอนทราย,5,partylist,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านควนเหลง,475,456,15,4,1,2,0,0,0,0,1,0,0,43,2,281,8,0,0,0,0,3,0,0,0,0,0,0,75,0,2,1,2,0,0,0,1,1,0,0,1,0,1,6,11,0,0,0,4,2,1,0,0,2,0,2,0,3,0,0,0
ควนขนุน,ดอนทราย,6,partylist,election_day,7.722331100000001,99.9800438,ศาลาประจำหมู่บ้านบ้านเกาะทอง,284,279,2,3,0,1,0,0,1,0,1,0,0,32,0,126,1,0,1,0,0,1,0,0,0,1,0,0,76,1,1,1,8,0,0,0,0,0,0,0,3,0,1,8,1,1,0,0,0,0,0,0,0,3,0,2,0,7,0,0,1
ควนขนุน,ดอนทราย,7,partylist,election_day,7.7186105,99.9665503,ศาลาประจำหมู่บ้านบ้านควนดินแดง,528,504,20,4,0,0,1,0,1,1,5,1,1,68,0,257,2,0,0,2,0,1,1,0,0,1,0,1,114,0,1,2,9,0,0,0,0,0,0,0,1,0,0,16,6,2,0,0,0,0,0,1,0,3,1,1,0,1,0,1,2
ควนขนุน,ดอนทราย,8,partylist,election_day,7.7290582,99.9418062,ศาลาประจำหมู่บ้านบ้านจันนา,262,255,5,2,0,0,0,0,0,0,0,0,0,34,1,120,3,0,0,0,0,3,0,0,0,0,0,0,63,1,0,0,2,0,0,0,1,0,0,1,0,0,0,15,3,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0
ควนขนุน,ดอนทราย,9,partylist,election_day,7.706008700000001,99.9771524,ศาลาประจำหมู่บ้านบ้านไสอ้อย,586,568,15,3,1,9,1,0,1,0,1,0,0,68,0,368,5,0,0,0,0,3,0,0,0,0,0,0,68,1,2,1,1,0,0,0,2,2,0,0,1,1,2,15,2,2,0,1,0,2,1,0,1,3,0,0,0,3,0,0,0
ควนขนุน,ดอนทราย,10,partylist,election_day,7.7714851,100.0555474,ศาลาประจำหมู่บ้านบ้านไสโพธิ์,379,367,6,6,0,0,0,0,0,0,1,0,0,42,0,214,1,0,0,0,0,0,0,1,0,0,0,0,74,1,0,0,2,0,0,0,0,0,0,0,1,0,2,10,6,1,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0
ควนขนุน,ดอนทราย,11,partylist,election_day,7.7290582,99.9418062,ศาลาประจำหมู่บ้านบ้านจันนาตก,264,252,10,2,1,0,0,0,2,0,0,0,0,23,0,151,1,0,1,0,0,3,0,0,0,0,0,0,36,0,0,1,8,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,1,0,2,0,5,0,1,0,3,0,0,0
ศรีบรรพต,ตะแพน,1,partylist,election_day,7.6514478,99.9629591,ศาลาประจำหมู่บ้าน บ้านสวนโหนด หมู่ที่ 1,340,329,9,2,0,2,0,0,0,0,2,0,1,31,0,208,3,0,2,0,0,3,0,0,0,0,0,0,40,0,0,0,3,0,0,1,0,0,0,1,2,0,0,19,5,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0
ศรีบรรพต,ตะแพน,2,partylist,election_day,7.6554624,99.8766586,โรงอาหารโรงเรียนวัดตะแพน,603,582,15,6,0,0,0,0,0,0,2,0,0,98,2,272,4,0,0,0,0,4,0,0,0,0,0,0,121,0,1,1,3,1,0,1,0,0,0,0,3,2,0,40,9,0,0,2,0,0,0,1,2,8,0,0,0,3,0,1,1
