district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ศรีนครินทร์,ชุมพล,7,partylist,election_day,274,259,5,10,0,0,0,0,0,0,1,0,0,41,0,150,2,0,0,0,0,3,0,0,0,1,1,0,25,0,0,3,2,0,1,0,0,0,0,0,1,0,1,14,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,259,0,0.0182481751824817,0.0364963503649635,0.9452554744525548,150.0,0.5791505791505791,0.4208494208494208,1.4919036627891118,98.35766423357664,False,True,UNUSUAL_VOTING_PATTERN,44,7.6050041,99.9493424,ศาลาอเนกประสงค์บ้านทุ่งยวน,True,1,1,4
ศรีนครินทร์,ชุมพล,12,partylist,election_day,244,224,11,9,0,1,0,0,0,0,0,1,0,35,0,118,3,0,0,0,0,7,0,1,0,1,0,0,20,0,1,1,2,0,1,0,0,0,0,0,0,0,1,22,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,224,0,0.0450819672131147,0.0368852459016393,0.918032786885246,118.0,0.5267857142857143,0.3705357142857143,1.642228166275038,97.00819672131148,False,True,UNUSUAL_VOTING_PATTERN,49,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านต้นธง,True,1,1,4
ศรีนครินทร์,ชุมพล,13,partylist,election_day,254,245,3,6,2,0,0,0,0,0,2,1,0,24,0,179,1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,3,1,0,1,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,245,0,0.0118110236220472,0.0236220472440944,0.9645669291338582,179.0,0.7306122448979592,0.6326530612244898,1.1639447665869618,98.93700787401576,True,False,UNUSUAL_VOTING_PATTERN,50,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านนารา,True,1,0,5
ควนขนุน,ดอนทราย,6,partylist,election_day,284,279,2,3,0,1,0,0,1,0,1,0,0,32,0,126,1,0,1,0,0,1,0,0,0,1,0,0,76,1,1,1,8,0,0,0,0,0,0,0,3,0,1,8,1,1,0,0,0,0,0,0,0,3,0,2,0,7,0,0,1,279,0,0.0070422535211267,0.0105633802816901,0.9823943661971832,126.0,0.4516129032258064,0.1792114695340501,1.6732146247223272,99.43661971830986,False,True,UNUSUAL_VOTING_PATTERN,58,7.722331100000001,99.9800438,ศาลาประจำหมู่บ้านบ้านเกาะทอง,True,1,1,-1
ศรีบรรพต,ตะแพน,4,partylist,election_day,144,143,1,0,0,0,0,0,0,0,1,0,0,24,0,86,1,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0.0069444444444444,0.0,0.9930555555555556,86.0,0.6013986013986014,0.4335664335664335,1.1711377548201092,99.65277777777776,False,True,UNUSUAL_VOTING_PATTERN,67,7.6452374,99.8090063,ศาลาประจำหมู่บ้าน บ้านห้วยครก หมู่ที่ 4,True,1,0,-1
ศรีบรรพต,ตะแพน,7,partylist,election_day,614,602,6,6,0,0,0,0,0,0,1,0,0,65,0,435,3,1,1,0,2,5,0,0,0,0,0,0,46,2,1,1,4,0,1,1,0,0,0,0,2,0,2,16,5,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,602,0,0.009771986970684,0.009771986970684,0.980456026058632,435.0,0.7225913621262459,0.6146179401993356,1.1248076985383864,99.3159609120521,False,True,UNUSUAL_VOTING_PATTERN,70,7.6497788,99.9285556,โรงอาหารโรงเรียนบ้านหัสคุณ,True,1,0,-1
ควนขนุน,ทะเลน้อย,4,partylist,election_day,377,355,18,4,0,0,0,2,2,0,0,0,0,30,1,131,8,0,0,0,0,1,0,0,0,0,0,0,139,1,1,2,1,0,0,1,1,0,0,0,2,1,0,17,2,1,0,0,0,2,0,2,1,6,0,0,0,0,0,0,0,355,0,0.0477453580901856,0.0106100795755968,0.9416445623342176,139.0,0.3915492957746478,0.0225352112676056,1.6134320880106734,97.40053050397876,False,True,UNUSUAL_VOTING_PATTERN,76,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนออก,True,1,1,2
ควนขนุน,ทะเลน้อย,5,partylist,election_day,508,476,29,3,0,1,0,0,0,0,0,1,0,58,1,202,4,0,1,1,0,1,3,0,0,2,0,0,110,0,2,1,2,1,0,1,1,0,0,0,1,0,0,56,9,2,0,1,0,0,0,1,1,8,0,2,0,2,0,0,0,476,0,0.0570866141732283,0.0059055118110236,0.937007874015748,202.0,0.4243697478991596,0.1932773109243697,1.7456328995849122,97.0275590551181,False,True,UNUSUAL_VOTING_PATTERN,77,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านปลายตรอก,True,1,1,2
ควนขนุน,ทะเลน้อย,9,partylist,election_day,408,382,19,7,0,5,0,0,2,0,1,1,1,49,0,164,1,0,1,0,0,2,0,0,0,0,0,0,99,0,1,2,1,0,1,0,0,0,0,1,0,0,4,22,7,1,0,0,0,1,1,2,0,6,0,3,0,2,0,1,0,382,0,0.0465686274509803,0.017156862745098,0.9362745098039216,164.0,0.4293193717277487,0.1701570680628272,1.7616805786463503,97.32843137254902,False,True,UNUSUAL_VOTING_PATTERN,81,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนตก,True,1,1,2
ควนขนุน,ทะเลน้อย,10,partylist,election_day,387,356,29,2,0,1,0,1,1,0,0,0,1,36,2,148,3,0,0,1,0,3,1,0,0,1,0,0,115,0,1,1,2,0,1,0,0,0,0,1,3,0,1,17,6,0,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0,356,0,0.0749354005167958,0.0051679586563307,0.9198966408268734,148.0,0.4157303370786517,0.0926966292134831,1.671034290224986,96.1498708010336,False,True,UNUSUAL_VOTING_PATTERN,82,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนกลาง,True,1,1,2
