district,subdistrict,unit_index,form_type_const,vote_phase,latitude_const,longitude_const,latlong_location_const,ballot_total_const,ballot_valid_const,ballot_invalid_const,ballot_no_vote_const,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum_const,vote_mismatch_const,vote_mismatch_ratio_const,invalid_ratio_const,no_vote_ratio_const,turnout_const,winner_votes_const,runner_up_votes_const,winner_ratio_const,winner_margin_const,vote_entropy_const,validation_error_const,has_validation_error_const,integrity_score_const,anomaly_iforest_const,anomaly_dbscan_const,analysis_scope_const,anomaly_type_const,form_type_party,latitude_party,longitude_party,latlong_location_party,ballot_total_party,ballot_valid_party,ballot_invalid_party,ballot_no_vote_party,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum_party,vote_mismatch_party,vote_mismatch_ratio_party,invalid_ratio_party,no_vote_ratio_party,turnout_party,winner_votes_party,runner_up_votes_party,winner_ratio_party,winner_margin_party,vote_entropy_party,validation_error_party,has_validation_error_party,integrity_score_party,anomaly_iforest_party,anomaly_dbscan_party,analysis_scope_party,anomaly_type_party,_merge,cross_mismatch,ballot_valid_cross_mismatch,ballot_invalid_cross_mismatch,ballot_no_vote_cross_mismatch,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
กงหรา2,สมหวัง,1,constituency,election_day,7.5077431,100.0024084,ศาลาประจำหมู่บ้านบ้านคลองลำ,316,302,8,6,137,2,32,111,19,1,0,302,0,0.0,0.0253164556962025,0.0189873417721519,0.9556962025316456,137.0,111.0,0.4536423841059602,0.086092715231788,1.1904620404245527,,False,98.35443037974684,False,False,election_day_model,NORMAL,partylist,7.5077431,100.0024084,ศาลาประจำหมู่บ้านบ้านคลองลำ,316,301,9,6,0,6,0,1,2,0,0,0,0,41,0,189,3,0,1,0,0,2,0,0,0,0,0,0,32,0,1,0,1,0,0,0,0,0,0,0,5,0,3,6,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,301,0,0.0,0.0284810126582278,0.0189873417721519,0.9525316455696202,189.0,41.0,0.627906976744186,0.4916943521594684,1.392056508250072,,False,98.19620253164555,False,False,election_day_model,NORMAL,both,0,1,1,0,10,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านโพธิ์,False,0,0,1
กงหรา2,สมหวัง,2,constituency,election_day,7.5077431,100.0024084,ศาลาประชาร่วมใจ (ช่องเตย),665,625,23,17,221,3,109,256,33,1,2,625,0,0.0,0.0345864661654135,0.025563909774436,0.9398496240601504,256.0,221.0,0.4096,0.056,1.247378557351304,,False,97.7593984962406,False,False,election_day_model,NORMAL,partylist,7.5077431,100.0024084,ศาลาประชาร่วมใจ (ช่องเตย),665,631,23,11,0,1,0,0,2,0,2,1,2,67,0,446,4,0,0,0,0,4,0,0,0,0,0,0,47,0,0,3,6,0,0,0,1,0,0,0,4,0,2,19,8,0,0,1,1,1,1,1,2,3,0,0,0,2,0,0,0,631,0,0.0,0.0345864661654135,0.0165413533834586,0.948872180451128,446.0,67.0,0.7068145800316957,0.6006339144215531,1.220223457841289,,False,97.93984962406014,False,False,election_day_model,NORMAL,both,0,6,0,6,11,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านข่อยม้า,False,0,0,1
กงหรา2,สมหวัง,3,constituency,election_day,7.52108,100.008,ศาลาประจำหมู่บ้านบ้านสมหวังตก,396,379,13,4,121,1,46,189,22,0,0,379,0,0.0,0.0328282828282828,0.0101010101010101,0.9570707070707072,189.0,121.0,0.4986807387862796,0.179419525065963,1.148350769526069,,False,98.15656565656565,False,False,election_day_model,NORMAL,partylist,7.52108,100.008,ศาลาประจำหมู่บ้านบ้านสมหวังตก,396,376,18,2,0,4,0,0,3,0,2,0,0,40,0,230,5,0,1,0,0,2,0,0,0,0,0,0,53,0,0,1,0,0,0,1,0,0,0,0,5,0,0,18,6,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,376,0,0.0,0.0454545454545454,0.005050505050505,0.9494949494949496,230.0,53.0,0.6117021276595744,0.4707446808510638,1.4103760549597912,,False,97.62626262626264,False,False,election_day_model,NORMAL,both,0,3,5,2,12,7.735698699999999,100.0077949,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,False,0,0,0
กงหรา2,สมหวัง,4,constituency,election_day,7.5076504,99.9837692,โรงเรียนวัดหวัง,358,332,20,6,88,0,60,166,16,1,1,332,0,0.0,0.0558659217877094,0.0167597765363128,0.9273743016759776,166.0,88.0,0.5,0.2349397590361445,1.1888165778609738,,False,96.87150837988828,False,True,election_day_model,UNUSUAL_VOTING_PATTERN,partylist,7.5076504,99.9837692,โรงเรียนวัดหวัง,358,322,31,5,0,0,0,0,1,0,0,0,0,29,0,198,3,0,1,1,1,4,0,0,0,0,0,0,40,1,0,2,2,1,0,1,1,1,0,0,2,1,2,12,4,3,0,0,0,0,1,1,0,5,0,1,1,0,2,0,0,322,0,0.0,0.0865921787709497,0.0139664804469273,0.8994413407821229,198.0,40.0,0.6149068322981367,0.4906832298136646,1.5672124179112503,,False,95.39106145251397,True,True,election_day_model,UNUSUAL_VOTING_PATTERN,both,0,10,11,1,13,7.7438149,99.9698974,ศาลาประจำหมู่บ้านบ้านชะมวง,True,1,0,0
กงหรา2,สมหวัง,5,constituency,election_day,7.507084499999999,99.9848915,ศาลาการเปรียญวัดสมหวัง,413,392,9,12,135,2,48,175,29,0,3,392,0,0.0,0.0217917675544794,0.0290556900726392,0.9491525423728814,175.0,135.0,0.4464285714285714,0.1020408163265306,1.2411572496218053,,False,98.32929782082324,False,False,election_day_model,NORMAL,partylist,7.507084499999999,99.9848915,ศาลาการเปรียญวัดสมหวัง,413,394,9,10,1,1,0,0,1,1,1,0,0,50,0,230,7,0,0,0,0,3,0,0,0,0,0,0,58,0,1,3,3,0,0,1,0,0,0,0,4,0,0,21,0,2,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,394,0,0.0,0.0217917675544794,0.0242130750605326,0.953995157384988,230.0,58.0,0.583756345177665,0.4365482233502538,1.4597614487887198,,False,98.42615012106538,False,False,election_day_model,NORMAL,both,0,2,0,2,14,7.7408104,99.9839132,ศาลาการเปรียญวัดพิกุลทอง,False,0,0,0
กงหรา2,สมหวัง,6,constituency,election_day,7.4978326,100.015403,ศาลาประจำหมู่บ้านบ้านไสคุณเปลือย,374,345,20,9,176,4,56,68,38,0,3,345,0,0.0,0.053475935828877,0.0240641711229946,0.9224598930481284,176.0,68.0,0.5101449275362319,0.3130434782608696,1.2944989383648529,,False,96.84491978609626,False,True,election_day_model,UNUSUAL_VOTING_PATTERN,partylist,7.4978326,100.015403,ศาลาประจำหมู่บ้านบ้านไสคุณเปลือย,374,347,16,11,0,0,1,0,1,0,2,0,0,43,0,239,0,0,1,1,0,1,0,1,0,1,0,0,19,1,0,3,3,0,1,0,0,0,1,0,3,0,3,10,3,1,0,1,0,0,1,0,1,3,0,0,0,1,1,0,0,347,0,0.0,0.0427807486631016,0.0294117647058823,0.927807486631016,239.0,43.0,0.6887608069164265,0.5648414985590778,1.3227025869275424,,False,97.27272727272728,False,True,election_day_model,UNUSUAL_VOTING_PATTERN,both,0,2,4,2,15,7.7885424,99.9643809,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,True,1,0,-1
กงหรา2,สมหวัง,7,constituency,election_day,7.4922222,100.0025,ศาลาประจำหมู่บ้านบ้านพรุนาแด้,427,411,12,4,198,0,50,135,25,2,1,411,0,0.0,0.0281030444964871,0.009367681498829,0.9625292740046838,198.0,135.0,0.4817518248175182,0.1532846715328467,1.1846557268540494,,False,98.40749414519904,False,False,election_day_model,NORMAL,partylist,7.4922222,100.0025,ศาลาประจำหมู่บ้านบ้านพรุนาแด้,427,404,19,4,0,2,1,0,1,0,1,0,1,37,0,289,3,0,0,1,0,6,0,0,0,0,0,0,36,1,0,1,3,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,0,1,3,2,0,1,0,2,0,0,0,404,0,0.0,0.0444964871194379,0.009367681498829,0.9461358313817332,289.0,37.0,0.7153465346534653,0.6237623762376238,1.1891092928092768,,False,97.58782201405153,False,False,election_day_model,NORMAL,both,0,7,7,0,16,7.7419453,99.9723573,ศาลาประจำหมู่บ้านบ้านหนักขัน,False,0,0,0
กงหรา2,สมหวัง,8,constituency,election_day,7.550502400000001,100.0024084,ศาลาประจำหมู่บ้านบ้านทุ่งเลียบ,197,186,4,7,83,0,36,61,5,0,1,186,0,0.0,0.0203045685279187,0.0355329949238578,0.9441624365482234,83.0,61.0,0.4462365591397849,0.1182795698924731,1.1688598591525556,,False,98.2741116751269,False,False,election_day_model,NORMAL,partylist,7.550502400000001,100.0024084,ศาลาประจำหมู่บ้านบ้านทุ่งเลียบ,197,187,4,6,0,1,0,0,1,0,0,0,0,19,1,131,1,0,0,0,0,1,0,0,1,0,0,0,16,4,0,0,1,0,1,0,0,0,0,0,0,1,0,2,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,187,0,0.0,0.0203045685279187,0.0304568527918781,0.949238578680203,131.0,19.0,0.7005347593582888,0.5989304812834224,1.2127489443977486,,False,98.3756345177665,False,False,election_day_model,NORMAL,both,0,1,0,1,17,7.753196000000001,99.9551971,ศาลาประจำหมู่บ้านบ้านไสเตียน,False,0,0,-1
ควนขนุน,ควนขนุน,1,constituency,election_day,7.7485644,100.007979,ศาลาประจำหมู่บ้านบ้านควนบก,384,378,4,2,134,8,23,201,11,1,0,378,0,0.0,0.0104166666666666,0.0052083333333333,0.984375,201.0,134.0,0.5317460317460317,0.1772486772486772,1.074038198228351,,False,99.375,False,False,election_day_model,NORMAL,partylist,7.7485644,100.007979,ศาลาประจำหมู่บ้านบ้านควนบก,384,365,11,8,0,0,0,0,2,0,1,0,0,46,0,215,3,0,0,1,0,1,1,0,0,1,0,0,41,0,1,2,6,0,0,0,0,0,0,0,3,2,0,29,2,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,365,0,0.0,0.0286458333333333,0.0208333333333333,0.9505208333333334,215.0,46.0,0.589041095890411,0.4630136986301369,1.484425266885348,,False,98.15104166666666,False,False,election_day_model,NORMAL,both,0,13,7,6,18,7.7838149,99.9798974,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,False,0,0,-1
ควนขนุน,ควนขนุน,2,constituency,election_day,7.7484794,100.0080005,ศาลา อพป.บ้านดอนนูด,305,297,5,3,100,1,23,167,6,0,0,297,0,0.0,0.0163934426229508,0.0098360655737704,0.9737704918032788,167.0,100.0,0.5622895622895623,0.2255892255892256,0.9863620746473258,,False,98.98360655737704,False,False,election_day_model,NORMAL,partylist,7.7484794,100.0080005,ศาลา อพป.บ้านดอนนูด,305,301,4,0,0,1,0,0,1,6,0,0,0,15,0,202,8,0,0,0,0,2,0,0,0,1,0,0,30,0,0,2,5,0,0,0,1,0,0,0,2,0,0,10,4,1,0,0,0,0,1,0,1,7,0,0,0,0,0,0,1,301,0,0.0,0.0131147540983606,0.0,0.9868852459016394,202.0,30.0,0.6710963455149501,0.5714285714285714,1.3990992662319806,,False,99.34426229508196,False,False,election_day_model,NORMAL,both,0,4,1,3,19,7.7538149,99.9598974,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,False,0,0,0
ควนขนุน,ควนขนุน,3,constituency,election_day,7.747440399999999,99.9966606,ศาลาประจำหมู่บ้านบ้านโคกวัด,639,605,15,19,150,2,76,336,35,2,4,605,0,0.0,0.0234741784037558,0.0297339593114241,0.94679186228482,336.0,150.0,0.5553719008264463,0.3074380165289256,1.168806431514007,,False,98.23161189358372,False,False,election_day_model,NORMAL,partylist,7.747440399999999,99.9966606,ศาลาประจำหมู่บ้านบ้านโคกวัด,639,612,17,10,0,0,0,2,0,0,0,0,0,70,1,371,7,0,0,0,0,4,1,2,0,1,0,0,99,2,0,0,5,0,1,0,1,0,0,0,3,0,2,23,3,2,0,0,0,1,0,3,0,3,0,0,0,4,0,1,0,612,0,0.0,0.0266040688575899,0.0156494522691705,0.9577464788732394,371.0,99.0,0.6062091503267973,0.4444444444444444,1.3967770552825187,,False,98.35680751173707,False,False,election_day_model,NORMAL,both,0,7,2,9,20,7.7372374,99.973056,ศาลาประจำหมู่บ้านบ้านไทรโกบ,False,0,0,0
ควนขนุน,ควนขนุน,4,constituency,election_day,7.7516832,100.0132899,ศาลาประจำหมู่บ้านบ้านโคกวา,707,675,17,15,226,5,78,310,56,0,0,675,0,0.0,0.024045261669024,0.0212164073550212,0.9547383309759548,310.0,226.0,0.4592592592592592,0.1244444444444444,1.2159445504588804,,False,98.37340876944836,False,False,election_day_model,NORMAL,partylist,7.7516832,100.0132899,ศาลาประจำหมู่บ้านบ้านโคกวา,707,671,32,4,0,1,0,0,1,4,5,0,1,89,0,371,12,0,2,0,0,4,0,0,0,0,1,1,99,0,1,3,2,0,0,1,1,1,0,0,7,1,1,27,11,2,0,1,0,1,2,0,1,12,0,1,0,4,0,0,0,671,0,0.0,0.0452616690240452,0.0056577086280056,0.9490806223479492,371.0,99.0,0.5529061102831595,0.405365126676602,1.6332642524349688,,False,97.62376237623762,False,False,election_day_model,NORMAL,both,0,4,15,11,21,7.736974900000001,99.9842367,ศาลาประจำหมู่บ้านบ้านหัวถนน,False,0,0,0
